               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,               0.032,            0.034306,            0.010915,             0.84419,              0.8166,             0.88063,             0.54889,             0.02835,            0.018193,           0.0031213,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031894,            0.034807,            0.010938,             0.83896,             0.82474,              0.8819,             0.54844,            0.028407,            0.018195,           0.0031591,            0.005743,            0.005743,            0.005743
                  88,            0.031681,            0.034454,           0.0098014,             0.84253,             0.82641,             0.88454,             0.54962,            0.028222,            0.018153,            0.003116,           0.0056935,           0.0056935,           0.0056935
                  89,            0.031667,             0.03429,            0.010177,             0.84607,             0.81722,             0.88218,             0.54869,            0.028155,            0.018225,           0.0031631,            0.005644,            0.005644,            0.005644
                  90,            0.031424,            0.033791,            0.010603,             0.84531,             0.82121,             0.88425,             0.55119,            0.028184,            0.018249,           0.0029222,           0.0055945,           0.0055945,           0.0055945
                  91,            0.031309,            0.034639,            0.010154,             0.84493,             0.83085,             0.88511,             0.55478,            0.028172,            0.018146,           0.0028395,            0.005545,            0.005545,            0.005545
                  92,            0.031403,            0.033789,            0.010321,             0.84435,             0.82519,             0.88369,             0.55274,            0.028061,            0.018178,           0.0028152,           0.0054955,           0.0054955,           0.0054955
                  93,            0.031356,            0.034086,            0.010665,              0.8408,             0.82127,             0.88153,             0.55104,            0.028211,            0.018144,           0.0027693,            0.005446,            0.005446,            0.005446
                  94,            0.031403,            0.034023,           0.0099426,             0.84626,             0.83066,             0.88836,             0.55591,            0.028068,            0.018154,           0.0026704,           0.0053965,           0.0053965,           0.0053965
                  95,            0.031358,            0.034115,           0.0099639,             0.85747,              0.8258,             0.88933,             0.55737,            0.027929,            0.018052,            0.002735,            0.005347,            0.005347,            0.005347
                  96,             0.03096,            0.033555,           0.0095964,             0.85395,             0.82798,             0.89011,             0.55798,            0.027947,            0.017984,           0.0027303,           0.0052975,           0.0052975,           0.0052975
                  97,            0.031082,            0.033495,            0.010141,             0.86133,             0.82089,             0.89074,              0.5595,            0.027868,            0.017952,           0.0026656,            0.005248,            0.005248,            0.005248
                  98,             0.03102,            0.034022,           0.0096094,             0.86029,             0.82606,             0.89046,             0.56012,             0.02783,            0.017893,           0.0026395,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031286,            0.034313,           0.0093256,             0.86555,             0.82849,             0.89135,             0.56284,            0.027837,             0.01789,           0.0026723,            0.005149,            0.005149,            0.005149
                 100,            0.030889,            0.032958,           0.0097112,             0.85739,             0.83822,             0.89297,             0.56441,            0.027602,            0.017889,           0.0026974,           0.0050995,           0.0050995,           0.0050995
                 101,            0.030541,            0.032969,           0.0094117,             0.86599,             0.82491,             0.89357,             0.56653,            0.027582,            0.017798,           0.0025695,             0.00505,             0.00505,             0.00505
                 102,            0.030528,            0.032999,           0.0095858,             0.85013,              0.8418,             0.89303,             0.56765,            0.027494,            0.017799,           0.0026059,           0.0050005,           0.0050005,           0.0050005
                 103,            0.030705,            0.033213,            0.009561,             0.85009,             0.84778,             0.89476,             0.56934,             0.02741,            0.017784,           0.0025673,            0.004951,            0.004951,            0.004951
                 104,            0.030539,            0.033132,           0.0089936,             0.85452,             0.85114,             0.89739,             0.57074,             0.02737,            0.017789,           0.0024534,           0.0049015,           0.0049015,           0.0049015
                 105,            0.030401,            0.032691,           0.0094187,               0.869,             0.84054,             0.90038,             0.57356,            0.027381,            0.017728,           0.0025088,            0.004852,            0.004852,            0.004852
                 106,            0.030463,            0.032742,           0.0088435,             0.86128,             0.84795,             0.89734,             0.57199,            0.027427,            0.017745,           0.0025036,           0.0048025,           0.0048025,           0.0048025
                 107,            0.030146,            0.032596,           0.0090975,             0.86576,              0.8418,             0.89795,             0.57416,              0.0273,            0.017731,           0.0025542,            0.004753,            0.004753,            0.004753
                 108,            0.030259,            0.033001,           0.0090553,              0.8581,             0.84475,             0.89785,             0.57381,            0.027284,            0.017736,           0.0025116,           0.0047035,           0.0047035,           0.0047035
